vintage,age,dependents,city,customer_nw_category,branch_code,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,days_since_last_transaction,gender_Male,occupation_retired,occupation_salaried,occupation_self_employed,occupation_student
2452,38,0.0,630.0,2,1771,4502.42,4552.42,3737.95,3901.79,0.23,1428.8,50.23,77.26,4524.84,3347.94,1540,False,False,False,True,False
2306,52,0.0,513.0,1,216,285.84,285.84,1514.31,1719.99,2958.7,2958.7,0.13,0.13,1088.01,1086.27,1532,True,False,False,True,False
1940,35,0.0,146.0,1,3882,5973.14,7129.92,6606.42,2803.37,0.67,1558.37,3043.16,5994.09,6781.25,7373.12,1539,False,False,False,True,False
2309,85,0.0,248.0,2,60,6786.02,7144.64,2978.55,441.76,0.04,514.33,1785.76,6342.9,7205.3,1367.97,1554,False,False,False,True,False
2240,35,0.0,575.0,2,616,1630.15,689.58,1617.95,1807.49,13144.37,1931.09,14981.05,2927.6,2743.99,1047.17,1517,True,False,False,True,False
2418,41,0.0,623.0,2,1641,2630.08,2558.83,2127.26,570.65,22.0,214.86,22.18,132.05,2692.07,2224.48,1535,False,False,False,True,False
1805,22,0.0,834.0,2,40,4052.36,4409.5,2679.4,1265.0,0.29,3214.57,0.29,0.29,4138.56,2706.74,1538,False,False,False,False,True
1855,19,0.0,409.0,2,313,7684.54,7698.83,7712.12,7724.21,0.09,0.09,0.09,0.09,7691.93,7705.74,1623,True,False,False,False,True
2122,79,0.0,779.0,2,741,0.37,17248.28,2046.01,1361.91,0.36,25885.45,4286.07,7.76,887.07,3880.38,1539,True,True,False,False,False
2452,33,0.0,1525.0,2,175,6304.63,6304.63,6304.63,6269.6,0.5,0.5,0.5,0.5,6304.63,6304.63,1693,True,False,False,True,False
2193,68,0.0,1020.0,1,79,6344.25,6344.25,8086.04,10635.77,0.26,0.26,0.26,1071.69,6344.25,7037.87,1608,False,False,False,True,False
2346,69,0.0,146.0,3,1745,47595.24,76166.67,102971.59,43872.63,0.43,0.43,28571.86,64286.14,47595.24,132387.87,1590,False,False,False,True,False
1863,79,0.0,656.0,3,1331,4541.28,7055.57,6006.01,5010.72,0.17,71.6,2857.31,57.31,4560.0,7084.54,1566,True,True,False,False,False
2272,29,0.0,996.0,2,1834,3281.88,3659.14,3441.27,3363.68,157.37,443.09,534.62,100.23,3555.12,3548.72,1524,True,False,True,False,False
2416,26,0.0,1096.0,2,11,43780.09,39792.41,40538.61,41123.79,5470.93,913.8,1561.79,1529.54,40350.2,39740.02,1507,True,False,False,False,True
1983,65,0.0,334.0,1,124,6591.31,6591.31,5925.21,939.35,0.43,0.43,0.43,0.43,6591.31,6591.31,1587,False,False,False,True,False
2215,48,0.0,1020.0,1,84,419.7,14450.55,2858.91,1552.53,2291.64,117.54,10033.92,1649.4,5517.88,2711.13,1534,False,False,True,False,False
2029,76,0.0,1232.0,2,185,29107.32,1714.47,11165.97,6645.28,821.71,30000.29,3428.86,0.29,30066.68,1714.47,1533,False,False,False,True,False
2296,54,4.0,1096.0,1,503,14518.01,16064.86,16316.82,37189.41,0.44,0.44,1248.6,963.63,15071.04,16336.41,1610,True,False,False,True,False
2154,72,0.0,1232.0,2,2454,16548.44,19013.76,20833.5,10921.65,0.24,136.49,2465.57,2353.71,17980.32,19588.72,1549,True,True,False,False,False
2302,42,0.0,568.0,3,2342,7468.77,7468.77,3456.48,750.86,0.39,7143.24,0.39,428.96,7468.77,2146.19,1542,True,False,False,True,False
2083,46,0.0,146.0,3,53,3026.32,4738.36,2858.96,2454.74,0.07,2385.79,2500.07,0.07,3260.61,3556.8,1540,True,False,True,False,False
2025,48,0.0,617.0,2,1432,1930.32,854.42,3561.05,6710.02,1476.03,0.13,385.84,6071.56,1668.16,1133.68,1528,True,False,False,True,False
2373,43,0.0,243.0,3,122,4768.1,4634.73,4568.54,3876.11,127.8,127.97,0.14,0.14,4693.92,4568.75,1519,False,False,False,True,False
1613,45,0.0,1096.0,2,933,6217.26,6903.6,8392.78,9228.1,114.87,4538.01,789.16,8898.01,6225.23,9362.04,1514,True,False,False,True,False
2303,33,2.0,1096.0,3,292,1869.58,1882.65,2128.96,2765.81,0.14,214.43,13.21,1000.14,1872.74,2004.77,1538,True,False,False,True,False
2151,30,0.0,334.0,3,847,1224.68,3129.21,2501.41,2525.14,0.41,0.41,2843.69,1492.15,1819.06,2794.49,1664,True,False,True,False,False
1779,58,0.0,328.0,2,1968,5602.32,5602.32,5602.32,5580.72,0.04,0.04,0.04,0.04,5602.32,5602.32,1689,False,False,True,False,False
2160,66,0.0,1180.0,2,1330,2027.49,995.49,1478.8,2088.62,1428.66,0.09,386.18,188.66,2080.46,1074.57,1532,True,True,False,False,False
1857,45,0.0,1020.0,3,182,2901.28,2612.7,3192.21,3940.21,228.81,228.81,196.03,1745.13,2843.9,2961.48,1512,False,False,True,False,False
1796,44,1.0,1525.0,3,51,211.44,2291.05,1524.14,1492.45,214.97,0.69,2286.4,0.69,297.31,2291.05,1535,False,False,False,True,False
2182,51,0.0,882.0,2,743,128.77,2985.91,2754.97,530.34,0.46,0.46,2857.6,6429.03,818.43,3746.28,1607,False,False,False,True,False
2014,31,0.0,1020.0,2,134,10694.21,10694.21,9349.63,10594.64,0.33,0.33,0.33,0.33,10694.21,9162.57,1597,True,False,False,True,False
1443,50,0.0,334.0,2,10,15500.9,10379.13,16018.36,17846.58,1298.6,3559.83,3032.54,1563.31,13704.38,9355.69,1507,False,False,False,True,False
2327,37,0.0,572.0,1,2825,2482.11,2223.52,3056.37,3159.17,0.09,0.09,374.26,1374.79,2378.89,2982.28,1601,True,False,True,False,False
2346,24,0.0,834.0,3,693,4648.93,4648.93,4311.95,3201.44,0.19,0.19,0.19,0.19,4648.93,4650.2,1575,True,False,False,False,True
1979,58,0.0,1361.0,2,813,1943.76,2086.62,2084.98,2082.92,0.16,0.16,285.87,0.16,2081.69,2086.62,1688,True,False,True,False,False
2210,33,0.0,623.0,3,521,4205.17,4585.92,4218.74,3287.03,0.41,214.7,516.84,373.81,4303.5,4592.92,1548,True,False,True,False,False
2247,35,0.0,656.0,2,1459,1971.8,1985.45,1898.1,2346.74,0.49,714.77,0.49,0.49,1984.51,1615.44,1548,False,False,False,True,False
1875,38,0.0,1096.0,1,503,6806.79,7444.46,19787.94,19692.71,4354.99,546463.84,4992.66,550117.57,8306.06,20466.72,1526,True,False,False,True,False
2285,60,0.0,1232.0,2,148,4707.19,5993.61,5530.67,8750.88,2.4,3.05,1238.39,620.72,5195.88,6344.06,1518,True,False,False,True,False
2191,53,0.0,1363.0,3,2691,2763.68,2763.68,2763.68,2750.77,0.46,0.46,0.46,0.46,2763.68,2763.68,1608,False,True,False,False,False
2142,38,2.0,1076.0,2,3130,6836.08,5177.51,3189.19,2664.84,4857.2,6714.34,3212.91,1864.34,5825.49,2777.06,1516,True,False,False,True,False
2179,36,0.0,1096.0,2,11,3227.32,1790.53,1705.41,7283.55,1440.56,1395.84,0.7,579.97,2885.45,1521.26,1528,False,False,False,True,False
2098,29,0.0,1096.0,2,92,3998.3,3457.85,3411.32,3575.88,1443.65,643.65,932.47,407.44,3418.16,3521.12,1507,False,False,True,False,False
2029,49,0.0,575.0,2,1718,28904.24,29485.38,19938.65,9765.15,521.63,25353.06,585.91,4020.2,28928.27,22242.46,1524,True,False,True,False,False
1997,40,0.0,834.0,3,22,4164.82,4164.82,4163.69,4138.08,0.66,3.23,0.66,0.66,4164.82,4163.99,1556,False,False,False,True,False
